player_id,player_name,team,selected_slug,decision,notes
"dd425a92-be0c-4a6b-847f-6f7695b9a63c","Peque","Sevilla FC","gerard-fernandez-castellano","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"2fa36c6a-fb4a-4505-8e88-5fed220df8a4","Vinícius Júnior 2.º","Real Madrid","vinicius-jose-paixao-de-oliveira-junior","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"7f36e34a-c829-41c1-afe4-8b798f13ba75","Oláiz","Deportivo Alavés","xanet-olaiz-ibarzabal","CANDIDATE_TO_VERIFY","Identidad confirmada por fuentes oficiales: Xanet Oláiz Ibarzábal, nacido 18/07/2005 en Astigarraga, defensa del Alavés (habitualmente en el filial). El slug 'xanet-olaiz' que probé no existe; probad esta variante con el segundo apellido u otras variantes vía vuestra API de Sorare. Es canterano con pocos minutos en 1ª plantilla, cabe la posibilidad de que aún no tenga carta en Sorare."
"c9ed15ae-a7cd-4ffa-9d58-1a577f869d6f","Cuti Romero","Atlético de Madrid","cristian-gabriel-romero","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"c0150e31-ac62-4fba-8bff-31d36e1453d0","X. Olaiz","Deportivo Alavés","xanet-olaiz-ibarzabal","CANDIDATE_TO_VERIFY","Misma persona que la fila 'Oláiz' (ver sorare-duplicate-audit). Aplicar la misma decisión a ambas filas y revisar duplicidad de player_id."
"995c6cb9-cfa2-4601-a5cc-dd1c94f46dac","Konaré","Elche CF","umaru-konare-tounkara","CANDIDATE_TO_VERIFY","Identidad confirmada: Umaru Konaré Tounkara, nacido 10/08/2004 en Monforte del Cid. Acaba de debutar con el primer equipo del Elche en pretemporada 2026/27 (procede del filial). Es tan reciente su subida que podría no tener aún carta en Sorare - confirmar con vuestra API."
"3a2f38e9-9bb0-44fb-96c5-b49fe02b8ce4","Fede Valverde","Real Madrid","federico-santiago-valverde-dipetta","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"70f68fc6-bb68-4110-9072-2519fc39a8e9","Manuel Fernández Arroyo","Celta de Vigo","manuel-fernandez-arroyo","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"783bd670-f5b9-4f0f-9b7f-3336feba0481","Damián Rodríguez Sousa","Celta de Vigo","damian-rodriguez-sousa","ACCEPT","El club distinto no es un error de identidad: es normal que el dato de club en Sorare esté más actualizado que el de vuestra tabla si hubo cesión/traspaso reciente. Nombre y fecha de nacimiento (2003-03-17) coinciden exactamente. Aceptar el slug."
"c566781b-dea2-41b8-952c-91dbcd95befe","Carlos Domínguez Cáceres","Celta de Vigo","carlos-dominguez-caceres","ACCEPT","Mismo caso: nombre y fecha de nacimiento (2001-02-11) coinciden exactamente con el jugador real del Celta. El club distinto en Sorare probablemente refleja un traspaso/cesión más reciente que vuestro dato. Aceptar el slug."
"e9b10bb1-fff6-4dfa-b17d-1cfe6ad446ab","Enzo Bardelli","Levante UD","enzo-bardeli","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"4677f6e6-e372-4264-b10e-4c31734c975c","José Luis Gayà","Valencia CF","jose-luis-gaya-pena","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
"6f15a767-deb1-4ab1-9294-b3661cb39230","Unai Egiluz","Athletic Club","unai-eguiluz-arroyo","ACCEPT","Verificado correctamente por vuestro propio auditor via API de Sorare."
